Observation_ID,AOU_Code,AcceptedTSN,Admin_Unit_Code,Common_Name,Date,Distance,Disturbance,End_Time,Flyover_Observed,Humidity,ID_Method,Initial_Three_Min_Cnt,Interval_Length,Location_Type,Observer,PIF_Watchlist_Status,Plot_Name,Previously_Obs,Regional_Stewardship_Status,Scientific_Name,Sex,Site_Name,Sky,Start_Time,Sub_Unit_Code,Temperature,Visit,Wind,Year,Taxon_Code,Month,Month_Name,Season,Observation_Duration_Min,Time_Of_Day
1,EATO,179276.0,ANTI,Eastern Towhee,2018-05-22,<= 50 Meters,No effect on count,06:29:00,False,79.4000015258789,Singing,True,0-2.5 min,Forest,Elizabeth Oswald,False,ANTI-0036,False,True,Pipilo erythrophthalmus,Undetermined,ANTI 1,Cloudy/Overcast,06:19:00,,19.8999996185303,1,Calm (< 1 mph) smoke rises vertically,2018,83803.0,5,May,Spring,10.0,Early Morning (before 8am)
2,WBNU,178775.0,ANTI,White-breasted Nuthatch,2018-05-22,<= 50 Meters,No effect on count,06:29:00,False,79.4000015258789,Calling,True,0-2.5 min,Forest,Elizabeth Oswald,False,ANTI-0036,False,False,Sitta carolinensis,Undetermined,ANTI 1,Cloudy/Overcast,06:19:00,,19.8999996185303,1,Calm (< 1 mph) smoke rises vertically,2018,90935.0,5,May,Spring,10.0,Early Morning (before 8am)
3,RBWO,178195.0,ANTI,Red-bellied Woodpecker,2018-05-22,50 - 100 Meters,No effect on count,06:29:00,False,79.4000015258789,Calling,False,2.5 - 5 min,Forest,Elizabeth Oswald,False,ANTI-0036,False,False,Melanerpes carolinus,Undetermined,ANTI 1,Cloudy/Overcast,06:19:00,,19.8999996185303,1,Calm (< 1 mph) smoke rises vertically,2018,84865.0,5,May,Spring,10.0,Early Morning (before 8am)
4,OROR,179064.0,ANTI,Orchard Oriole,2018-05-22,<= 50 Meters,No effect on count,06:29:00,False,79.4000015258789,Singing,False,2.5 - 5 min,Forest,Elizabeth Oswald,False,ANTI-0036,False,False,Icterus spurius,Undetermined,ANTI 1,Cloudy/Overcast,06:19:00,,19.8999996185303,1,Calm (< 1 mph) smoke rises vertically,2018,93634.0,5,May,Spring,10.0,Early Morning (before 8am)
5,NOMO,178620.0,ANTI,Northern Mockingbird,2018-05-22,<= 50 Meters,No effect on count,06:29:00,False,79.4000015258789,Visualization,False,2.5 - 5 min,Forest,Elizabeth Oswald,False,ANTI-0036,False,False,Mimus polyglottos,Undetermined,ANTI 1,Cloudy/Overcast,06:19:00,,19.8999996185303,1,Calm (< 1 mph) smoke rises vertically,2018,88394.0,5,May,Spring,10.0,Early Morning (before 8am)
6,NOCA,179124.0,ANTI,Northern Cardinal,2018-05-22,<= 50 Meters,No effect on count,06:29:00,False,79.4000015258789,Singing,False,5 - 7.5 min,Forest,Elizabeth Oswald,False,ANTI-0036,False,False,Cardinalis cardinalis,Undetermined,ANTI 1,Cloudy/Overcast,06:19:00,,19.8999996185303,1,Calm (< 1 mph) smoke rises vertically,2018,94228.0,5,May,Spring,10.0,Early Morning (before 8am)
7,NOCA,179124.0,ANTI,Northern Cardinal,2018-05-22,50 - 100 Meters,No effect on count,06:29:00,False,79.4000015258789,Singing,True,0-2.5 min,Forest,Elizabeth Oswald,False,ANTI-0036,False,False,Cardinalis cardinalis,Undetermined,ANTI 1,Cloudy/Overcast,06:19:00,,19.8999996185303,1,Calm (< 1 mph) smoke rises vertically,2018,94228.0,5,May,Spring,10.0,Early Morning (before 8am)
8,HOLA,554256.0,ANTI,Horned Lark,2018-05-22,<= 50 Meters,No effect on count,06:29:00,False,79.4000015258789,Singing,True,0-2.5 min,Forest,Elizabeth Oswald,False,ANTI-0036,False,False,Eremophila alpestris,Undetermined,ANTI 1,Cloudy/Overcast,06:19:00,,19.8999996185303,1,Calm (< 1 mph) smoke rises vertically,2018,264079.0,5,May,Spring,10.0,Early Morning (before 8am)
9,MODO,177125.0,ANTI,Mourning Dove,2018-05-22,<= 50 Meters,No effect on count,06:29:00,False,79.4000015258789,Singing,True,0-2.5 min,Forest,Elizabeth Oswald,False,ANTI-0036,False,False,Zenaida macroura,Undetermined,ANTI 1,Cloudy/Overcast,06:19:00,,19.8999996185303,1,Calm (< 1 mph) smoke rises vertically,2018,82737.0,5,May,Spring,10.0,Early Morning (before 8am)
10,FISP,179443.0,ANTI,Field Sparrow,2018-05-22,<= 50 Meters,No effect on count,06:29:00,False,79.4000015258789,Singing,False,5 - 7.5 min,Forest,Elizabeth Oswald,False,ANTI-0036,False,True,Spizella pusilla,Undetermined,ANTI 1,Cloudy/Overcast,06:19:00,,19.8999996185303,1,Calm (< 1 mph) smoke rises vertically,2018,84790.0,5,May,Spring,10.0,Early Morning (before 8am)
11,CARW,178581.0,ANTI,Carolina Wren,2018-05-22,<= 50 Meters,No effect on count,06:29:00,False,79.4000015258789,Singing,True,0-2.5 min,Forest,Elizabeth Oswald,False,ANTI-0036,False,False,Thryothorus ludovicianus,Undetermined,ANTI 1,Cloudy/Overcast,06:19:00,,19.8999996185303,1,Calm (< 1 mph) smoke rises vertically,2018,88350.0,5,May,Spring,10.0,Early Morning (before 8am)
12,CACH,554383.0,ANTI,Carolina Chickadee,2018-05-22,<= 50 Meters,No effect on count,06:29:00,False,79.4000015258789,Visualization,False,7.5 - 10 min,Forest,Elizabeth Oswald,False,ANTI-0036,False,True,Poecile carolinensis,Undetermined,ANTI 1,Cloudy/Overcast,06:19:00,,19.8999996185303,1,Calm (< 1 mph) smoke rises vertically,2018,265876.0,5,May,Spring,10.0,Early Morning (before 8am)
13,EAWP,178359.0,ANTI,Eastern Wood-Pewee,2018-05-22,50 - 100 Meters,No effect on count,06:29:00,False,79.4000015258789,Singing,True,0-2.5 min,Forest,Elizabeth Oswald,False,ANTI-0036,False,True,Contopus virens,Undetermined,ANTI 1,Cloudy/Overcast,06:19:00,,19.8999996185303,1,Calm (< 1 mph) smoke rises vertically,2018,85846.0,5,May,Spring,10.0,Early Morning (before 8am)
14,AMCR,179731.0,ANTI,American Crow,2018-05-22,50 - 100 Meters,No effect on count,06:29:00,False,79.4000015258789,Calling,False,2.5 - 5 min,Forest,Elizabeth Oswald,False,ANTI-0036,False,False,Corvus brachyrhynchos,Undetermined,ANTI 1,Cloudy/Overcast,06:19:00,,19.8999996185303,1,Calm (< 1 mph) smoke rises vertically,2018,87106.0,5,May,Spring,10.0,Early Morning (before 8am)
15,INBU,179150.0,ANTI,Indigo Bunting,2018-05-22,<= 50 Meters,No effect on count,06:29:00,False,79.4000015258789,Singing,True,0-2.5 min,Forest,Elizabeth Oswald,False,ANTI-0036,False,True,Passerina cyanea,Undetermined,ANTI 1,Cloudy/Overcast,06:19:00,,19.8999996185303,1,Calm (< 1 mph) smoke rises vertically,2018,94257.0,5,May,Spring,10.0,Early Morning (before 8am)
16,ETTI,554138.0,ANTI,Eastern Tufted Titmouse,2018-05-22,<= 50 Meters,No effect on count,06:29:00,False,79.4000015258789,Singing,False,2.5 - 5 min,Forest,Elizabeth Oswald,False,ANTI-0036,False,False,Baeolophus bicolor,Undetermined,ANTI 1,Cloudy/Overcast,06:19:00,,19.8999996185303,1,Calm (< 1 mph) smoke rises vertically,2018,266957.0,5,May,Spring,10.0,Early Morning (before 8am)
17,YEWA,950039.0,ANTI,Yellow Warbler,2018-05-22,<= 50 Meters,No effect on count,06:29:00,False,79.4000015258789,Singing,False,7.5 - 10 min,Forest,Elizabeth Oswald,False,ANTI-0036,False,False,Setophaga petechia,Undetermined,ANTI 1,Cloudy/Overcast,06:19:00,,19.8999996185303,1,Calm (< 1 mph) smoke rises vertically,2018,773778.0,5,May,Spring,10.0,Early Morning (before 8am)
18,MODO,177125.0,ANTI,Mourning Dove,2018-05-22,<= 50 Meters,No effect on count,06:29:00,False,79.4000015258789,Visualization,False,2.5 - 5 min,Forest,Elizabeth Oswald,False,ANTI-0036,False,False,Zenaida macroura,Undetermined,ANTI 1,Cloudy/Overcast,06:19:00,,19.8999996185303,1,Calm (< 1 mph) smoke rises vertically,2018,82737.0,5,May,Spring,10.0,Early Morning (before 8am)
19,FISP,179443.0,ANTI,Field Sparrow,2018-05-22,<= 50 Meters,No effect on count,06:29:00,False,79.4000015258789,Singing,False,2.5 - 5 min,Forest,Elizabeth Oswald,False,ANTI-0036,False,True,Spizella pusilla,Undetermined,ANTI 1,Cloudy/Overcast,06:19:00,,19.8999996185303,1,Calm (< 1 mph) smoke rises vertically,2018,84790.0,5,May,Spring,10.0,Early Morning (before 8am)
20,RBWO,178195.0,ANTI,Red-bellied Woodpecker,2018-05-22,50 - 100 Meters,No effect on count,06:12:00,False,72.1999969482422,Calling,False,5 - 7.5 min,Forest,Kimberly Serno,False,ANTI-0082,False,False,Melanerpes carolinus,Undetermined,ANTI 1,Cloudy/Overcast,06:02:00,,20.7999992370605,1,Calm (< 1 mph) smoke rises vertically,2018,84865.0,5,May,Spring,10.0,Early Morning (before 8am)
21,ETTI,554138.0,ANTI,Eastern Tufted Titmouse,2018-05-22,50 - 100 Meters,No effect on count,06:12:00,False,72.1999969482422,Singing,False,7.5 - 10 min,Forest,Kimberly Serno,False,ANTI-0082,False,False,Baeolophus bicolor,Undetermined,ANTI 1,Cloudy/Overcast,06:02:00,,20.7999992370605,1,Calm (< 1 mph) smoke rises vertically,2018,266957.0,5,May,Spring,10.0,Early Morning (before 8am)
22,ETTI,554138.0,ANTI,Eastern Tufted Titmouse,2018-05-22,<= 50 Meters,No effect on count,06:12:00,False,72.1999969482422,Singing,True,0-2.5 min,Forest,Kimberly Serno,False,ANTI-0082,False,False,Baeolophus bicolor,Undetermined,ANTI 1,Cloudy/Overcast,06:02:00,,20.7999992370605,1,Calm (< 1 mph) smoke rises vertically,2018,266957.0,5,May,Spring,10.0,Early Morning (before 8am)
23,EABL,179801.0,ANTI,Eastern Bluebird,2018-05-22,<= 50 Meters,No effect on count,06:12:00,False,72.1999969482422,Singing,True,0-2.5 min,Forest,Kimberly Serno,False,ANTI-0082,False,False,Sialia sialis,Undetermined,ANTI 1,Cloudy/Overcast,06:02:00,,20.7999992370605,1,Calm (< 1 mph) smoke rises vertically,2018,87184.0,5,May,Spring,10.0,Early Morning (before 8am)
24,DOWO,178259.0,ANTI,Downy Woodpecker,2018-05-22,<= 50 Meters,No effect on count,06:12:00,False,72.1999969482422,Calling,True,0-2.5 min,Forest,Kimberly Serno,False,ANTI-0082,False,True,Picoides pubescens,Undetermined,ANTI 1,Cloudy/Overcast,06:02:00,,20.7999992370605,1,Calm (< 1 mph) smoke rises vertically,2018,84936.0,5,May,Spring,10.0,Early Morning (before 8am)
25,CHSP,179435.0,ANTI,Chipping Sparrow,2018-05-22,50 - 100 Meters,No effect on count,06:12:00,False,72.1999969482422,Singing,True,0-2.5 min,Forest,Kimberly Serno,False,ANTI-0082,False,False,Spizella passerina,Undetermined,ANTI 1,Cloudy/Overcast,06:02:00,,20.7999992370605,1,Calm (< 1 mph) smoke rises vertically,2018,84781.0,5,May,Spring,10.0,Early Morning (before 8am)
26,CARW,178581.0,ANTI,Carolina Wren,2018-05-22,<= 50 Meters,No effect on count,06:12:00,False,72.1999969482422,Singing,False,2.5 - 5 min,Forest,Kimberly Serno,False,ANTI-0082,False,False,Thryothorus ludovicianus,Undetermined,ANTI 1,Cloudy/Overcast,06:02:00,,20.7999992370605,1,Calm (< 1 mph) smoke rises vertically,2018,88350.0,5,May,Spring,10.0,Early Morning (before 8am)
27,CARW,178581.0,ANTI,Carolina Wren,2018-05-22,50 - 100 Meters,No effect on count,06:12:00,False,72.1999969482422,Calling,True,0-2.5 min,Forest,Kimberly Serno,False,ANTI-0082,False,False,Thryothorus ludovicianus,Undetermined,ANTI 1,Cloudy/Overcast,06:02:00,,20.7999992370605,1,Calm (< 1 mph) smoke rises vertically,2018,88350.0,5,May,Spring,10.0,Early Morning (before 8am)
28,BAOR,179083.0,ANTI,Baltimore Oriole,2018-05-22,<= 50 Meters,No effect on count,06:12:00,False,72.1999969482422,Singing,False,7.5 - 10 min,Forest,Kimberly Serno,False,ANTI-0082,False,False,Icterus galbula,Undetermined,ANTI 1,Cloudy/Overcast,06:02:00,,20.7999992370605,1,Calm (< 1 mph) smoke rises vertically,2018,93655.0,5,May,Spring,10.0,Early Morning (before 8am)
29,NOCA,179124.0,ANTI,Northern Cardinal,2018-05-22,50 - 100 Meters,No effect on count,06:12:00,False,72.1999969482422,Singing,True,0-2.5 min,Forest,Kimberly Serno,False,ANTI-0082,False,False,Cardinalis cardinalis,Undetermined,ANTI 1,Cloudy/Overcast,06:02:00,,20.7999992370605,1,Calm (< 1 mph) smoke rises vertically,2018,94228.0,5,May,Spring,10.0,Early Morning (before 8am)
30,GCFL,178309.0,ANTI,Great Crested Flycatcher,2018-05-22,50 - 100 Meters,No effect on count,06:12:00,False,72.1999969482422,Calling,False,2.5 - 5 min,Forest,Kimberly Serno,False,ANTI-0082,False,False,Myiarchus crinitus,Undetermined,ANTI 1,Cloudy/Overcast,06:02:00,,20.7999992370605,1,Calm (< 1 mph) smoke rises vertically,2018,85791.0,5,May,Spring,10.0,Early Morning (before 8am)
31,EAWP,178359.0,ANTI,Eastern Wood-Pewee,2018-05-22,50 - 100 Meters,No effect on count,07:31:00,False,75.8000030517578,Singing,False,2.5 - 5 min,Forest,Kimberly Serno,False,ANTI-0078,False,True,Contopus virens,Undetermined,ANTI 1,Mist/Drizzle,07:21:00,,21.7000007629395,1,Light air movement (1-3 mph) smoke drifts,2018,85846.0,5,May,Spring,10.0,Early Morning (before 8am)
32,FISP,179443.0,ANTI,Field Sparrow,2018-05-22,50 - 100 Meters,No effect on count,07:31:00,False,75.8000030517578,Singing,False,7.5 - 10 min,Forest,Kimberly Serno,False,ANTI-0078,False,True,Spizella pusilla,Undetermined,ANTI 1,Mist/Drizzle,07:21:00,,21.7000007629395,1,Light air movement (1-3 mph) smoke drifts,2018,84790.0,5,May,Spring,10.0,Early Morning (before 8am)
33,INBU,179150.0,ANTI,Indigo Bunting,2018-05-22,<= 50 Meters,No effect on count,07:31:00,False,75.8000030517578,Singing,False,2.5 - 5 min,Forest,Kimberly Serno,False,ANTI-0078,False,True,Passerina cyanea,Undetermined,ANTI 1,Mist/Drizzle,07:21:00,,21.7000007629395,1,Light air movement (1-3 mph) smoke drifts,2018,94257.0,5,May,Spring,10.0,Early Morning (before 8am)
34,MODO,177125.0,ANTI,Mourning Dove,2018-05-22,50 - 100 Meters,No effect on count,07:31:00,False,75.8000030517578,Calling,True,0-2.5 min,Forest,Kimberly Serno,False,ANTI-0078,False,False,Zenaida macroura,Undetermined,ANTI 1,Mist/Drizzle,07:21:00,,21.7000007629395,1,Light air movement (1-3 mph) smoke drifts,2018,82737.0,5,May,Spring,10.0,Early Morning (before 8am)
35,NOCA,179124.0,ANTI,Northern Cardinal,2018-05-22,<= 50 Meters,No effect on count,07:31:00,False,75.8000030517578,Singing,True,0-2.5 min,Forest,Kimberly Serno,False,ANTI-0078,False,False,Cardinalis cardinalis,Undetermined,ANTI 1,Mist/Drizzle,07:21:00,,21.7000007629395,1,Light air movement (1-3 mph) smoke drifts,2018,94228.0,5,May,Spring,10.0,Early Morning (before 8am)
36,NOCA,179124.0,ANTI,Northern Cardinal,2018-05-22,50 - 100 Meters,No effect on count,07:31:00,False,75.8000030517578,Singing,True,0-2.5 min,Forest,Kimberly Serno,False,ANTI-0078,False,False,Cardinalis cardinalis,Undetermined,ANTI 1,Mist/Drizzle,07:21:00,,21.7000007629395,1,Light air movement (1-3 mph) smoke drifts,2018,94228.0,5,May,Spring,10.0,Early Morning (before 8am)
